,carat,cut,color,clarity,depth,table,x,y,z,price
52111,0.91,Good,F,SI2,56.9,62.0,6.51,6.45,3.69,2461
30365,0.36,Very Good,I,VS1,63.3,56.0,4.56,4.51,2.87,729
30492,0.31,Premium,D,SI1,61.4,58.0,4.39,4.34,2.68,732
2110,0.85,Ideal,G,SI1,60.4,56.0,6.26,6.17,3.75,3118
25910,2.22,Very Good,I,SI2,62.9,59.0,8.2,8.24,5.17,15047
36572,0.7,Fair,F,I1,63.9,59.0,5.64,5.5,3.57,945
25543,1.5,Premium,F,VS2,60.8,58.0,7.44,7.29,4.48,14372
5448,0.9,Premium,E,SI2,61.7,58.0,6.18,6.11,3.79,3830
18203,1.32,Very Good,H,SI1,62.3,58.0,6.96,7.0,4.35,7389
51170,0.5,Ideal,E,VVS2,62.4,54.0,5.11,5.09,3.18,2346
49332,0.7,Very Good,H,SI2,63.4,55.0,5.59,5.64,3.56,2094
17134,1.26,Ideal,H,SI1,61.0,56.0,7.04,7.0,4.28,6837
23669,1.24,Very Good,F,VVS1,62.7,61.0,6.75,6.84,4.26,11716
35107,0.3,Ideal,F,IF,62.6,57.0,4.25,4.28,2.67,886
10473,1.01,Fair,F,VS2,66.1,61.0,6.1,6.04,4.01,4791
273,0.76,Ideal,I,VS2,61.3,56.0,5.87,5.91,3.61,2793
4604,0.73,Ideal,E,VS1,60.9,55.8,5.8,5.85,3.55,3660
29450,0.33,Ideal,E,SI1,61.6,55.0,4.47,4.49,2.76,702
28084,0.3,Premium,D,SI1,62.1,59.0,4.31,4.29,2.67,662
36034,0.41,Premium,G,SI1,61.3,58.0,4.8,4.76,2.93,923
3151,0.98,Fair,G,SI2,66.6,56.0,6.12,6.02,4.04,3332
15856,1.37,Ideal,I,VS2,61.5,56.0,7.14,7.11,4.38,6343
47262,0.7,Good,J,VS2,63.2,61.0,5.59,5.62,3.54,1843
13889,1.01,Very Good,D,SI1,63.2,58.0,6.28,6.34,3.99,5654
18424,1.0,Good,G,VVS2,60.9,56.0,6.49,6.52,3.96,7492
27039,0.32,Very Good,G,VS1,61.7,55.0,4.37,4.41,2.71,645
4831,0.71,Ideal,F,VVS2,61.2,55.0,5.73,5.84,3.54,3705
30028,0.43,Good,E,SI1,63.4,56.0,4.77,4.79,3.03,718
28128,0.29,Very Good,F,VVS2,62.7,58.0,4.22,4.26,2.66,664
31331,0.37,Ideal,F,VS2,61.7,55.0,4.61,4.73,2.88,759
8879,1.08,Premium,G,SI1,61.2,59.0,6.61,6.66,4.06,4485
38532,0.38,Premium,H,VVS1,61.2,60.0,4.7,4.68,2.87,1033
22172,1.52,Very Good,E,SI2,63.3,58.0,7.31,7.25,4.61,10214
22786,1.7,Very Good,J,VVS1,62.9,60.0,7.56,7.61,4.77,10808
35872,0.41,Premium,E,VVS2,61.5,58.0,4.75,4.78,2.93,918
49471,0.64,Very Good,E,VS2,63.4,54.0,5.52,5.49,3.49,2114
48197,0.46,Premium,D,VVS1,60.0,59.0,5.04,5.0,3.01,1947
19698,0.36,Premium,I,SI1,60.4,60.0,4.62,4.58,2.78,624
2039,0.7,Good,D,VS1,60.4,63.0,5.73,5.76,3.47,3107
51851,0.7,Very Good,F,SI1,63.2,57.0,5.68,5.62,3.57,2423
27359,1.51,Premium,D,VS1,63.0,52.0,7.37,7.3,4.62,17936
6382,0.25,Premium,E,VVS2,62.0,59.0,4.05,4.08,2.52,576
295,0.74,Ideal,H,VS1,61.6,56.0,5.81,5.82,3.58,2797
12666,0.91,Very Good,F,VS1,62.4,59.0,6.15,6.16,3.84,5302
43593,0.31,Ideal,H,VS2,61.2,56.0,4.35,4.37,2.67,507
24705,0.32,Ideal,F,VS1,61.5,56.0,4.4,4.44,2.72,639
29755,0.3,Premium,D,SI1,63.0,58.0,4.27,4.24,2.68,709
47436,0.55,Ideal,G,VS2,60.4,56.0,5.38,5.31,3.23,1854
48205,0.7,Premium,H,SI1,61.1,58.0,5.74,5.79,3.52,1948
32282,0.26,Very Good,E,VS1,63.0,59.0,4.03,4.06,2.55,453
52851,0.67,Ideal,G,VVS1,62.4,55.0,5.6,5.62,3.5,2577
4099,0.7,Ideal,D,VS1,62.2,56.0,5.69,5.72,3.55,3535
25134,2.01,Very Good,I,SI1,61.8,62.0,7.98,8.07,4.96,13691
32548,0.27,Ideal,D,VVS2,62.3,57.0,4.15,4.13,2.58,799
41598,0.31,Ideal,G,SI2,62.0,55.0,4.34,4.37,2.7,391
2054,0.32,Very Good,E,SI1,62.8,57.0,4.34,4.39,2.74,561
22829,1.1,Ideal,F,VVS1,62.7,57.0,6.57,6.63,4.14,10861
22716,1.33,Ideal,G,VS1,59.9,57.3,7.16,7.21,4.3,10732
39568,0.44,Very Good,G,VVS2,60.9,57.0,4.89,4.93,2.99,1081
20165,1.01,Very Good,G,IF,62.8,57.0,6.39,6.42,4.02,8621
40290,0.4,Ideal,H,VVS2,62.1,57.0,4.74,4.69,2.93,1125
25163,1.7,Premium,F,VS2,62.5,61.0,7.54,7.45,4.69,13737
3522,1.0,Premium,F,I1,62.4,59.0,6.38,6.34,3.97,3405
35133,0.41,Very Good,D,VS2,62.5,60.0,4.72,4.75,2.96,889
4490,0.9,Good,H,SI2,64.5,58.0,6.0,5.96,3.86,3627
344,0.8,Very Good,E,SI2,62.5,56.0,5.88,5.96,3.7,2804
33195,0.3,Ideal,H,VVS1,62.6,56.0,4.28,4.25,2.67,819
3437,0.9,Premium,H,SI1,61.0,59.0,6.16,6.11,3.74,3387
38331,0.32,Ideal,E,VVS1,61.6,56.0,4.42,4.41,2.72,1020
10605,1.17,Good,H,SI2,63.8,58.0,6.57,6.73,4.24,4826
14395,0.3,Good,H,VVS2,63.4,57.0,4.21,4.24,2.68,605
41902,0.52,Very Good,F,SI1,60.0,58.0,5.21,5.26,3.14,1261
33862,0.3,Ideal,E,VS2,61.4,55.0,4.34,4.32,2.66,844
48976,0.36,Premium,D,SI2,61.5,60.0,4.54,4.6,2.81,537
8830,0.98,Premium,E,SI2,61.7,61.0,6.38,6.34,3.93,4478
46488,0.46,Very Good,D,VVS1,62.2,56.0,4.94,4.97,3.08,1778
1262,0.82,Good,H,VS2,62.4,54.0,5.97,6.04,3.75,2947
6157,0.73,Ideal,F,VVS1,61.8,54.0,5.8,5.78,3.58,3990
1414,1.06,Premium,I,SI2,61.5,57.0,6.57,6.49,4.02,2968
17252,1.52,Fair,I,SI2,64.7,58.0,7.19,7.22,4.66,6905
46490,0.51,Very Good,E,VS1,61.6,59.0,5.1,5.12,3.15,1778
29087,0.34,Ideal,H,VS2,60.5,56.0,4.58,4.54,2.76,689
30431,0.32,Ideal,G,VVS2,62.1,57.0,4.4,4.42,2.74,730
39357,0.44,Premium,E,VS2,62.3,59.0,4.91,4.81,3.03,1073
30795,0.41,Ideal,I,VS2,62.0,57.0,4.74,4.77,2.95,742
22359,0.31,Ideal,H,VS2,62.6,57.0,4.38,4.34,2.73,628
8369,0.97,Premium,G,SI1,62.6,58.0,6.24,6.18,3.89,4400
18745,1.24,Very Good,G,VS2,61.5,58.0,6.89,6.94,4.25,7660
2477,0.81,Premium,G,VS2,61.4,60.0,6.02,5.99,3.69,3193
11464,1.01,Very Good,F,SI1,63.1,59.0,6.3,6.37,4.0,5010
25007,2.14,Premium,G,SI2,60.7,59.0,8.37,8.31,5.06,13540
30358,0.31,Ideal,F,VS1,61.1,57.0,4.34,4.36,2.66,729
5761,1.01,Good,F,SI2,63.7,60.0,6.37,6.29,4.02,3897
20922,1.05,Ideal,F,VVS2,61.5,57.0,6.51,6.57,4.02,9138
41215,0.4,Ideal,F,VVS1,61.5,56.0,4.77,4.73,2.92,1206
2849,1.1,Premium,I,SI2,59.3,62.0,6.75,6.7,3.99,3271
7004,1.0,Premium,F,SI2,62.4,61.0,6.34,6.32,3.95,4155
22459,1.6,Premium,E,SI2,59.4,59.0,7.61,7.55,4.5,10483
44227,0.61,Very Good,I,VS2,62.4,57.0,5.4,5.43,3.38,1572
43854,0.55,Premium,G,VS2,59.6,59.0,5.32,5.36,3.18,1448
13771,1.05,Very Good,H,VS2,63.3,56.0,6.48,6.41,4.08,5614
873,0.74,Ideal,E,SI1,62.3,58.0,5.74,5.78,3.59,2872
13533,1.0,Good,D,SI1,60.5,60.0,6.37,6.42,3.87,5546
22298,1.23,Ideal,F,VS2,62.4,54.0,6.84,6.87,4.28,10342
41527,0.42,Premium,G,VVS1,60.2,59.0,4.84,4.82,2.91,1235
16890,1.47,Premium,I,SI2,62.4,55.0,7.34,7.24,4.55,6742
3,0.29,Premium,I,VS2,62.4,58.0,4.2,4.23,2.63,334
50837,0.62,Very Good,D,VS1,63.4,55.0,5.46,5.43,3.45,2310
52228,0.8,Premium,G,SI2,59.7,62.0,6.02,5.98,3.58,2484
48109,0.5,Ideal,G,VVS2,62.3,56.0,5.09,5.05,3.16,1935
50522,0.7,Very Good,E,SI2,63.1,56.0,5.66,5.63,3.56,2273
27027,2.42,Premium,J,VS2,61.3,59.0,8.61,8.58,5.27,17168
30511,0.31,Ideal,D,SI1,62.6,57.0,4.32,4.3,2.7,732
35585,0.35,Ideal,D,VS2,60.5,56.0,4.63,4.6,2.79,907
6083,0.8,Ideal,E,VS2,61.4,56.0,5.97,6.02,3.68,3972
17864,1.51,Good,F,SI2,63.7,59.0,7.15,7.26,4.59,7208
61,0.3,Premium,D,SI1,62.6,59.0,4.23,4.27,2.66,552
13044,0.36,Premium,F,SI1,61.6,60.0,4.54,4.61,2.82,600
37573,0.4,Ideal,F,VVS2,60.1,57.0,4.78,4.83,2.89,990
6627,1.28,Good,H,SI2,56.8,62.0,7.22,7.16,4.08,4086
16493,1.11,Premium,F,VS2,63.0,56.0,6.62,6.49,4.15,6589
30904,0.31,Ideal,E,VS2,60.9,57.0,4.36,4.38,2.66,745
42771,0.62,Very Good,F,SI2,63.1,52.0,5.39,5.53,3.45,1348
3797,0.71,Ideal,E,VS1,60.4,57.0,5.75,5.81,3.49,3464
53744,0.74,Ideal,D,SI1,62.2,56.0,5.82,5.78,3.61,2723
3946,0.71,Ideal,D,SI1,61.4,55.0,5.78,5.82,3.56,3502
12102,1.13,Ideal,I,VS2,62.2,55.0,6.69,6.67,4.15,5165
153,0.73,Premium,G,VS2,61.4,59.0,5.83,5.76,3.56,2770
50323,0.71,Good,G,SI1,64.1,58.0,5.6,5.63,3.6,2240
11292,1.01,Ideal,H,SI1,62.3,55.0,6.43,6.37,3.99,4977
24139,1.54,Premium,G,VS2,61.6,59.0,7.46,7.4,4.58,12308
13478,1.08,Ideal,F,SI1,62.7,57.0,6.53,6.57,4.11,5534
44479,0.55,Ideal,E,VS2,62.0,55.0,5.24,5.28,3.26,1596
53017,0.71,Good,G,VS2,64.2,58.0,5.59,5.62,3.6,2599
95,0.7,Good,E,VS2,57.5,58.0,5.85,5.9,3.38,2759
42535,0.4,Premium,D,VVS2,60.8,59.0,4.81,4.76,2.91,1323
28617,0.3,Premium,E,SI1,61.3,60.0,4.28,4.24,2.61,675
6601,1.0,Very Good,F,SI2,62.6,58.0,6.31,6.37,3.97,4081
7240,1.0,Very Good,G,SI2,60.0,62.0,6.45,6.48,3.88,4195
39011,0.43,Ideal,I,IF,62.0,55.0,4.83,4.85,3.0,1056
41584,0.32,Very Good,I,SI1,62.4,58.0,4.42,4.46,2.77,388
51575,0.77,Premium,G,SI2,61.9,59.0,5.88,5.84,3.63,2391
8446,0.81,Ideal,F,VS1,62.3,55.0,5.97,6.0,3.73,4412
23938,1.52,Ideal,F,SI1,62.0,54.0,7.36,7.44,4.59,12071
20502,1.59,Ideal,I,SI1,62.1,57.0,7.48,7.46,4.64,8835
20916,1.03,Ideal,F,VVS2,61.9,53.0,6.52,6.54,4.04,9131
14517,1.01,Premium,G,VS2,61.2,58.0,6.49,6.46,3.96,5864
10147,1.25,Good,I,SI2,63.9,56.0,6.81,6.77,4.34,4725
28596,0.3,Very Good,G,VS2,63.1,57.0,4.28,4.24,2.69,675
22689,0.3,Very Good,G,VS1,62.5,59.0,4.32,4.25,2.68,629
3938,0.83,Ideal,F,SI1,61.7,57.0,6.04,6.08,3.74,3500
35389,0.41,Ideal,G,VS1,60.8,56.0,4.79,4.82,2.92,899
34413,0.3,Ideal,G,IF,60.7,57.0,4.34,4.39,2.65,863
8163,1.03,Premium,I,SI1,61.6,59.0,6.46,6.49,3.99,4362
23439,1.7,Very Good,D,SI2,60.8,59.0,7.76,7.83,4.75,11431
14987,1.0,Premium,F,VS2,58.7,62.0,6.6,6.51,3.85,6037
21191,1.5,Very Good,I,VS2,59.4,61.0,7.41,7.45,4.41,9342
34437,0.46,Premium,I,SI2,61.0,58.0,5.03,4.97,3.05,863
11651,1.01,Very Good,H,VS1,59.6,58.0,6.46,6.5,3.86,5055
15764,0.9,Ideal,G,VVS2,61.6,56.0,6.2,6.23,3.83,6302
23139,1.64,Premium,H,SI1,59.3,61.0,7.68,7.64,4.54,11159
1535,0.93,Good,J,VS2,63.6,61.0,6.16,6.08,3.89,3000
3278,0.82,Ideal,F,SI1,62.1,56.0,6.04,6.0,3.74,3361
53599,0.91,Good,I,SI1,64.2,59.0,6.05,5.98,3.86,2700
53835,0.7,Premium,G,VVS2,59.6,61.0,5.86,5.78,3.47,2737
11848,0.91,Premium,E,VS1,60.6,58.0,6.32,6.25,3.81,5101
4181,0.73,Premium,D,VS1,60.0,58.0,5.9,5.86,3.53,3557
44113,0.46,Ideal,G,IF,61.6,54.0,4.97,5.0,3.07,1558
3288,0.91,Premium,H,SI2,62.9,59.0,6.15,6.12,3.86,3363
33645,0.38,Ideal,G,VS1,60.8,56.0,4.66,4.71,2.85,833
15855,1.51,Premium,J,VS2,62.3,59.0,7.36,7.3,4.57,6342
19477,1.05,Premium,F,VS1,62.3,55.0,6.57,6.49,4.07,8114
14485,1.25,Very Good,F,SI2,58.0,63.0,7.16,7.06,4.13,5851
10293,1.02,Fair,H,SI1,65.5,60.0,6.29,6.22,4.1,4758
8466,1.03,Good,F,SI2,59.0,59.0,6.55,6.6,3.88,4414
4429,0.91,Very Good,G,SI2,62.9,54.0,6.14,6.22,3.89,3615
12826,1.05,Ideal,I,VS2,60.2,57.0,6.6,6.65,3.99,5347
31367,0.33,Ideal,F,VVS2,60.7,56.0,4.46,4.5,2.72,761
31648,0.28,Very Good,E,VS1,59.0,60.0,4.26,4.32,2.53,452
16722,0.33,Ideal,H,VS1,61.6,55.0,4.46,4.48,2.75,610
47133,0.7,Very Good,H,SI1,62.6,57.0,5.64,5.7,3.55,1830
34969,0.23,Very Good,E,VVS1,61.4,60.0,3.95,3.97,2.43,472
46024,0.57,Ideal,E,VS2,60.4,57.0,5.36,5.4,3.25,1728
39859,0.41,Ideal,H,IF,61.8,55.0,4.79,4.82,2.97,1100
27605,2.09,Good,F,SI2,63.4,55.0,8.11,8.18,5.16,18472
50312,0.7,Premium,F,SI1,61.2,59.0,5.7,5.64,3.47,2239
23031,0.33,Premium,D,SI2,62.7,58.0,4.41,4.39,2.76,631
27198,1.91,Very Good,F,SI1,62.2,54.0,7.91,7.97,4.94,17509
48889,0.71,Premium,G,SI2,60.8,60.0,5.74,5.78,3.5,2039
13837,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,5640
50231,0.7,Ideal,I,VS2,62.5,56.0,5.66,5.7,3.55,2232
45636,0.25,Very Good,G,VVS1,60.6,55.0,4.12,4.14,2.5,525
50157,0.52,Ideal,F,VVS2,61.8,56.0,5.2,5.17,3.2,2216
15038,0.3,Ideal,H,VVS2,61.1,55.0,4.32,4.36,2.65,605
4685,1.01,Premium,E,SI2,62.3,55.0,6.35,6.29,3.94,3674
41991,0.43,Premium,G,VVS1,62.2,58.0,4.83,4.78,2.99,1264
8768,1.04,Premium,G,SI1,62.3,57.0,6.5,6.46,4.04,4467
52863,0.76,Very Good,G,SI1,63.7,58.0,5.75,5.8,3.68,2579
4740,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,3679
23723,0.25,Very Good,F,VVS1,61.1,57.0,4.05,4.08,2.48,633
11466,1.03,Premium,I,VS1,60.4,59.0,6.51,6.57,3.95,5012
30806,0.3,Very Good,G,IF,60.5,58.0,4.35,4.38,2.64,743
38417,0.4,Ideal,E,VS2,62.3,56.0,4.78,4.72,2.96,1025
24309,2.04,Ideal,J,SI1,59.1,59.0,8.29,8.24,4.88,12554
52999,0.71,Fair,D,VS2,64.4,56.0,5.63,5.58,3.61,2596
7528,1.01,Ideal,D,SI2,62.0,57.0,6.42,6.38,3.97,4242
39431,0.41,Premium,F,VS1,62.4,60.0,4.77,4.71,2.96,1076
19522,1.13,Ideal,F,VS2,60.1,56.0,6.76,6.84,4.09,8157
38498,0.42,Ideal,G,VVS2,62.2,56.0,4.77,4.81,2.98,1031
39606,0.26,Premium,H,VS1,62.3,59.0,4.1,4.06,2.54,491
15850,1.35,Premium,I,SI1,62.1,58.0,7.07,7.0,4.37,6340
26418,1.7,Ideal,G,VS2,61.3,57.0,7.67,7.6,4.68,15941
39642,0.4,Ideal,F,VVS2,62.0,56.0,4.76,4.73,2.94,1085
202,0.7,Premium,E,SI1,60.5,58.0,5.77,5.74,3.48,2777
43231,0.4,Premium,E,VVS1,61.4,59.0,4.74,4.68,2.89,1397
30461,0.44,Ideal,I,VS2,61.9,54.0,4.91,4.95,3.05,732
44667,0.32,Ideal,H,VS2,61.5,55.0,4.41,4.44,2.72,523
42324,0.41,Ideal,F,VVS1,61.9,56.0,4.77,4.79,2.96,1295
36656,0.3,Ideal,E,VVS2,60.8,56.0,4.35,4.37,2.65,949
18146,1.02,Premium,F,VS1,61.9,58.0,6.45,6.5,4.01,7351
19106,1.51,Good,F,SI2,62.9,55.0,7.22,7.28,4.56,7875
44493,0.52,Ideal,H,VS1,62.0,56.0,5.14,5.2,3.21,1598
47641,0.23,Very Good,D,VVS1,63.3,58.0,3.9,3.93,2.48,530
37378,0.4,Very Good,F,VS1,61.5,59.0,4.71,4.76,2.91,982
22056,1.72,Good,G,SI2,62.8,59.3,7.55,7.62,4.76,10084
11920,1.22,Ideal,I,SI1,62.5,56.0,6.82,6.79,4.25,5124
41661,0.54,Ideal,J,VVS1,62.2,54.0,5.23,5.25,3.26,1239
26515,2.01,Premium,I,VS2,61.6,61.0,8.08,7.97,4.94,16149
38599,0.53,Ideal,I,SI1,61.5,54.0,5.22,5.26,3.22,1038
20727,0.31,Ideal,F,VS2,61.3,57.0,4.3,4.34,2.65,625
36180,0.41,Ideal,I,IF,61.8,55.0,4.77,4.81,2.96,930
32428,0.4,Ideal,G,VS2,62.4,54.0,4.74,4.75,2.96,792
38223,0.4,Very Good,E,VVS2,60.3,59.0,4.74,4.78,2.87,1017
14783,1.17,Ideal,D,SI2,62.7,57.0,6.72,6.7,4.21,5949
15433,1.03,Ideal,F,SI1,62.4,57.0,6.48,6.44,4.03,6178
30092,0.32,Premium,H,VS1,61.7,58.0,4.41,4.37,2.71,720
26907,2.01,Very Good,I,VS1,62.9,62.0,7.98,8.02,5.03,16914
37884,0.46,Ideal,I,VVS2,61.4,57.0,4.96,5.0,3.06,1006
22597,1.23,Very Good,F,VVS2,58.5,59.0,6.98,7.07,4.11,10650
24593,1.22,Ideal,F,VVS1,61.5,58.0,6.85,6.9,4.23,12906
30270,0.31,Good,H,SI1,63.1,57.0,4.31,4.34,2.73,446
32110,0.47,Ideal,H,SI2,61.8,54.0,5.01,5.05,3.11,782
28598,0.3,Very Good,G,VS2,63.5,54.0,4.28,4.25,2.71,675
26301,1.55,Premium,F,VS1,61.6,56.0,7.45,7.38,4.57,15801
7003,1.06,Premium,D,SI2,60.9,60.0,6.55,6.52,3.98,4155
18435,1.37,Ideal,I,VS2,61.3,56.0,7.15,7.18,4.39,7500
36000,0.42,Ideal,G,VS1,62.0,55.0,4.78,4.83,2.98,921
7793,0.9,Very Good,D,SI1,62.1,60.0,6.11,6.19,3.82,4289
53402,0.71,Ideal,F,SI2,61.8,57.0,5.69,5.72,3.53,2667
10502,1.02,Ideal,H,VVS2,60.9,57.0,6.49,6.44,3.94,4798
35873,0.41,Ideal,E,VVS2,62.0,55.0,4.73,4.79,2.95,918
4475,0.92,Premium,H,SI1,62.4,58.0,6.19,6.22,3.87,3624
49950,0.3,Premium,H,SI1,62.2,60.0,4.28,4.24,2.65,540
26738,1.52,Good,F,VS1,63.4,60.0,7.25,7.3,4.61,16519
40764,0.41,Very Good,H,VVS1,62.0,56.0,4.77,4.81,2.97,1166
27013,2.02,Ideal,H,SI1,62.4,58.0,8.07,8.03,5.02,17141
17906,1.21,Ideal,E,SI1,62.2,54.1,6.82,6.86,4.26,7231
26420,1.72,Premium,G,VS2,61.1,58.0,7.73,7.69,4.71,15946
46425,0.53,Good,G,VVS2,64.3,58.0,5.11,5.15,3.3,1769
29971,0.32,Ideal,D,SI1,62.1,54.0,4.4,4.45,2.75,715
11261,0.91,Premium,D,VS2,62.0,60.0,6.23,6.19,3.85,4969
44854,0.56,Very Good,F,VS2,60.0,57.0,5.34,5.39,3.22,1627
6002,1.01,Premium,H,SI2,62.5,58.0,6.39,6.35,3.98,3959
23569,1.63,Premium,G,SI1,59.9,60.0,7.64,7.61,4.57,11578
7550,1.01,Very Good,G,SI2,61.0,58.0,6.43,6.48,3.94,4249
18994,1.09,Ideal,G,VS1,62.3,55.0,6.59,6.63,4.12,7820
47977,0.38,Ideal,G,SI2,62.0,55.0,4.66,4.69,2.9,532
40282,0.3,Ideal,I,VVS2,62.5,54.0,4.27,4.31,2.68,495
47503,0.58,Ideal,F,VS1,61.9,54.0,5.37,5.33,3.31,1865
25650,1.52,Premium,F,VS2,62.3,56.0,7.34,7.29,4.56,14544
2890,0.9,Fair,H,SI1,61.4,61.0,6.08,6.14,3.75,3282
50713,0.53,Ideal,G,IF,60.6,56.0,5.27,5.33,3.21,2293
31290,0.32,Ideal,D,VS2,61.1,56.0,4.39,4.41,2.69,758
17278,1.29,Ideal,J,VVS1,61.2,56.0,7.01,7.05,4.3,6918
36788,0.34,Ideal,E,VS2,62.2,55.0,4.49,4.48,2.79,956
45895,0.52,Ideal,D,SI1,60.9,57.0,5.21,5.17,3.16,1720
3037,0.3,Good,G,VS1,63.5,58.0,4.21,4.26,2.69,565
27241,1.74,Premium,G,VS2,61.0,58.0,7.77,7.75,4.73,17614
29077,0.38,Ideal,G,SI1,61.2,58.0,4.64,4.67,2.85,688
52178,0.7,Very Good,D,SI1,62.9,63.0,5.64,5.59,3.53,2475
47261,0.71,Premium,J,VVS2,60.3,59.0,5.79,5.82,3.5,1843
50258,0.56,Very Good,F,VVS2,59.5,61.0,5.36,5.33,3.18,2236
18334,1.04,Ideal,F,VS2,62.0,55.0,6.47,6.52,4.03,7459
3318,0.76,Ideal,G,VS1,61.6,56.0,5.82,5.87,3.6,3372
50623,0.3,Ideal,E,SI2,62.1,54.0,4.32,4.35,2.69,401
47745,0.54,Ideal,D,VS2,61.8,56.0,5.21,5.24,3.23,1892
24188,2.18,Very Good,G,SI2,63.3,59.0,8.25,8.2,5.2,12377
21368,0.36,Ideal,D,SI1,62.0,54.0,4.58,4.61,2.85,626
6581,0.9,Ideal,D,SI2,62.4,56.0,6.16,6.24,3.87,4078
13875,1.13,Premium,H,VS2,62.0,57.0,6.68,6.62,4.12,5650
43375,0.5,Ideal,E,SI1,61.9,55.0,5.18,5.12,3.19,1409
30156,0.3,Ideal,E,SI1,61.4,56.0,4.36,4.33,2.67,720
17397,0.34,Premium,E,SI1,59.3,58.0,4.59,4.55,2.71,612
3478,1.05,Very Good,J,SI2,60.9,60.0,6.51,6.59,3.99,3395
25477,1.51,Ideal,F,VS2,62.4,56.0,7.38,7.31,4.58,14247
46279,0.56,Very Good,E,VS2,61.7,56.0,5.25,5.31,3.26,1755
45924,0.53,Ideal,E,VS2,62.4,56.0,5.16,5.2,3.23,1721
36211,0.36,Premium,G,VS1,59.7,56.0,4.67,4.64,2.78,932
48427,0.57,Ideal,G,VS1,61.4,55.0,5.34,5.38,3.29,1972
12163,1.13,Very Good,H,SI2,62.0,58.0,6.67,6.71,4.15,5179
23373,0.33,Premium,D,SI2,62.1,58.0,4.43,4.4,2.74,631
10270,1.01,Fair,D,SI1,66.9,54.0,6.25,6.21,4.17,4751
44247,0.51,Premium,F,VS2,63.0,55.0,5.1,5.06,3.2,1574
19159,1.08,Ideal,F,VS2,62.3,54.0,6.6,6.56,4.1,7917
28642,0.33,Very Good,J,VS1,61.5,61.0,4.39,4.46,2.72,434
5407,1.0,Fair,H,VS2,64.8,55.0,6.35,6.28,4.09,3819
44346,0.56,Ideal,G,VS2,61.0,57.0,5.32,5.34,3.25,1580
37656,0.42,Ideal,F,SI1,60.9,55.0,4.88,4.84,2.96,992
22752,1.12,Ideal,E,VVS2,60.6,57.0,6.77,6.66,4.07,10769
25976,2.09,Ideal,J,VS1,61.2,59.0,8.31,8.22,5.06,15172
